μ,期望收益,MAD风险,目标函数值,求解时间,SHY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV
0.1,1.0037787412950208,0.0020563267593960138,0.0983215473701061,0.008330106735229492,0.85925499,0.0,0.011787838,0.0093123685,0.016112587,0.0,0.10353221,0.0,0.0
0.13203517797162953,1.0037787412950208,0.0020563267593960138,0.13047777799163035,0.007630586624145508,0.85925499,0.0,0.011787838,0.0093123685,0.016112587,0.0,0.10353221,0.0,0.0
0.17433288221999882,1.0038591582604166,0.0020690972238960135,0.1729365631785844,0.006481170654296875,0.85128474,0.0,0.011909027,0.0077133054,0.021377687,0.0,0.10458422,0.0031310255,0.0
0.23018073130224664,1.004021816621229,0.0021041302553606272,0.2290023457379241,0.004684925079345703,0.83515978,0.0,0.012154211,0.0044781737,0.032029732,0.0,0.10671256,0.0094655349,0.0
0.3039195382313198,1.004021816621229,0.0021041302553606272,0.3030377166263342,0.0035028457641601562,0.83515978,0.0,0.012154211,0.0044781737,0.032029732,0.0,0.10671256,0.0094655349,0.0
0.4012807031942776,1.004021816621229,0.0021041302553606272,0.40079045034080224,0.003046751022338867,0.83515978,0.0,0.012154211,0.0044781737,0.032029732,0.0,0.10671256,0.0094655349,0.0
0.5298316906283709,1.00468578244425,0.002418880889438006,0.5298954857732865,0.004770994186401367,0.78042151,0.0,0.016587172,0.0,0.073222897,0.0,0.095848501,0.033919919,0.0
0.699564215671263,1.0047360340438334,0.0024508607319359654,0.7004265148805937,0.006498813629150391,0.77703046,0.0,0.015727308,0.0031749082,0.07848214,0.0,0.089548181,0.036037007,0.0
0.9236708571873863,1.013934401184375,0.010321585272899494,0.9262200722008515,0.005513906478881836,0.0,0.19724388,0.0,0.41122862,0.040679149,0.0,0.085869926,0.26497842,0.0
1.2195704601594415,1.0142841467391668,0.010691999389576387,1.2262989841815353,0.003919124603271484,0.0,0.24641754,0.0,0.42180337,0.0,0.0,0.069539806,0.26223928,0.0
1.6102620275609392,1.01481759941625,0.011386339261184993,1.622735905979351,0.0035326480865478516,0.0,0.27079646,0.0,0.42697245,0.0,0.0,0.0,0.30223109,0.0
2.126112333899657,1.01510598848375,0.011929736703691934,2.1462996256270115,0.003251791000366211,0.0,0.30759304,0.0,0.36459259,0.0,0.0,0.0,0.32781437,0.0
2.807216203941177,1.0166272607779168,0.015684508369908087,2.838208011454191,0.003316164016723633,0.0,0.4191238,0.11180652,0.21114201,0.0,0.0,0.0,0.25792767,0.0
3.7065129109221564,1.0188293867358333,0.02275843175528601,3.7535458442079825,0.0031480789184570312,0.0,0.3833662,0.33154921,0.0,0.0,0.0,0.0,0.28508459,0.0
4.893900918477494,1.0194943328316666,0.025680196693706293,4.963624055133788,0.0030241012573242188,0.0,0.27148784,0.4573405,0.0,0.0,0.0,0.0,0.27117166,0.0
6.461670787466972,1.0218824272966667,0.0393430255375,6.563724803151213,0.011139869689941406,0.0,0.17067004,0.82932996,0.0,0.0,0.0,0.0,0.0,0.0
8.53167852417281,1.02275,0.0461875,8.679586710597745,0.00368499755859375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11.264816923358868,1.02275,0.0461875,11.474904008365286,0.0058710575103759766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14.873521072935118,1.02275,0.0461875,15.165706177344395,0.003985881805419922,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.6382800192977,1.02275,0.0461875,20.03886338973672,0.003171205520629883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.92943797404667,1.02275,0.0461875,26.473145187956227,0.003654003143310547,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.235979576075835,1.02275,0.0461875,34.96866061143156,0.0031011104583740234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.203536563602455,1.02275,0.0461875,46.18572952042441,0.0042798519134521484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59.684569951223104,1.02275,0.0461875,60.99620641761343,0.0067179203033447266,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78.80462815669912,1.02275,0.0461875,80.55124594726405,0.005761384963989258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104.04983103657852,1.02275,0.0461875,106.3707771926607,0.0056078433990478516,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137.3823795883264,1.02275,0.0461875,140.46164122396075,0.0035250186920166016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181.3930693911063,1.02275,0.0461875,185.4735742197539,0.003504037857055664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
239.5026619987486,1.02275,0.0461875,244.9051600592201,0.0032625198364257812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316.22776601683796,1.02275,0.0461875,323.375760193721,0.003931283950805664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
