μ,期望收益,MAD风险,目标函数值,求解时间,SHY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV
0.1,1.0121613777404326,0.016017044288699316,0.10095959206629711,0.00945591926574707,0.11061837498768988,0.11153257466739551,0.1115851371809982,0.11135920926228886,0.11097481419840248,0.11044808608344268,0.11098764621756028,0.11175720855619034,0.11073694884603176
0.13203517797162953,1.0121645487433555,0.01602552982386173,0.13338450872376753,0.007311582565307617,0.11048624534513742,0.11157787574762772,0.11175271124114725,0.1113028775760361,0.11098950196729027,0.11055747889612172,0.11092142504448578,0.11169892511767064,0.11071295906448303
0.17433288221999882,1.0121669470857073,0.01603195367191563,0.17619695763472992,0.004037141799926758,0.11038633029338145,0.11161200391376412,0.11187960118866165,0.1112602457808463,0.11100067666356338,0.11064029511504793,0.11087136808860029,0.1116547046173582,0.11069477433877657
0.23018073130224664,1.0121687534427444,0.016036810800880753,0.23272456456807103,0.0023636817932128906,0.1103108969389012,0.11163717805156093,0.11197560384868659,0.11122800191295977,0.11100940618974844,0.11070323431931907,0.11083377988203968,0.11162088330187854,0.11068101555490568
0.3039195382313198,1.0121701320253231,0.016040497573142222,0.3073609815742762,0.0018410682678222656,0.1102536035710939,0.11165699677227214,0.11204841879036116,0.11120355790850009,0.11101569764929889,0.11075055556583205,0.11080496262769653,0.11159564717798867,0.11067055993695663
0.4012807031942776,1.012171199028105,0.01604365978319631,0.4059073714797542,0.0016016960144042969,0.11021231283824258,0.11164811231121174,0.11212724107170376,0.11118265777086539,0.11102568199087506,0.11079155394316097,0.11078947653056101,0.11156284351060754,0.11066012003277201
0.5298316906283709,1.0121719765270563,0.016045675793147394,0.5360233258183311,0.0012612342834472656,0.11017908617917434,0.1116649684047508,0.11216298891996129,0.1111692630672908,0.11102818342774448,0.11081758595591532,0.11077159518006292,0.11155155754457301,0.11065477132052705
0.699564215671263,1.0121725644536583,0.016047200962643397,0.7078221935172591,0.0009915828704833984,0.11015393786509145,0.11167773923181769,0.11218999450620507,0.11115913037746901,0.11103008771387766,0.11083730379606165,0.11075806498059888,0.11154301432670762,0.11065072720217102
0.9236708571873863,1.012173019184534,0.016048374041447128,0.934657169942749,0.0007865428924560547,0.11013479671782557,0.11168730790495847,0.11221124735128686,0.11115135873776762,0.11103143116915827,0.11085213389728579,0.11074772070075031,0.11153643972425932,0.11064756379670784
1.2195704601594415,1.0121733600626905,0.01604925584041199,1.2341591518797526,0.0006351470947265625,0.11012033874228244,0.11169459070763801,0.11222705062035655,0.1111455102527593,0.11103248547231642,0.11086340019201593,0.11073992389250364,0.11153149630482471,0.11064520381530296
1.6102620275609392,1.0121736147010938,0.016049917004520554,1.629607137216416,0.0005128383636474609,0.11010942677689926,0.11170014295695174,0.11223872454469315,0.1111411182311877,0.11103332099353556,0.11087196856318797,0.11073405626680617,0.11152778881852457,0.11064345284821392
2.126112333899657,1.012173809078504,0.016050420643785028,2.151737603529161,0.0004277229309082031,0.11010114725022822,0.1117043313295788,0.1122476948804969,0.11113777618491305,0.11103393788959855,0.11087844121097395,0.11072959673526662,0.11152496402694158,0.11064211049200216
2.807216203941177,1.012173956592888,0.016050802656220158,2.8411335038889,0.00035452842712402344,0.11009487388195438,0.11170749997991215,0.11225451440932,0.11113524204467744,0.11103440199920125,0.11088333980653504,0.11072621628218987,0.11152282106518467,0.11064109053102505
3.7065129109221564,1.0121740698134223,0.016051094822620737,3.751378620219069,0.000286102294921875,0.11009010725854206,0.11170988378389259,0.11225980538805268,0.11113330714044616,0.11103473781155623,0.1108870338913778,0.11072364047223354,0.11152118197678948,0.11064030227710954
4.893900918477494,1.0121741498514265,0.016051305275382847,4.95322235721603,0.0002455711364746094,0.11008655675601241,0.11171174953780795,0.11226333321348864,0.11113190169424435,0.11103505206722206,0.11088989144132348,0.11072174943118306,0.11152000088673034,0.11063976497198771
6.461670787466972,1.0121742186452733,0.01605148016391722,6.5400789304319185,0.0002067089080810547,0.11008378266887218,0.11171307605274443,0.11226669161332335,0.11113075147716872,0.11103520432349466,0.11089196984321113,0.11072023173166072,0.11151901981310612,0.11063927247641851
8.53167852417281,1.0121742660542477,0.016051603723466805,8.635287794433305,0.0001819133758544922,0.11008173055879569,0.11171413033119855,0.11226884116254246,0.11112992961836088,0.11103536888038616,0.11089359314244493,0.11071913138709788,0.11151832636386921,0.11063894855530429
11.264816923358868,1.012174303035867,0.016051699342753366,11.40170056117561,0.000164031982421875,0.11008016517676172,0.1117149174186936,0.11227055949288939,0.1111292958861206,0.11103548223071838,0.1108948112789917,0.11071828677765484,0.11151778977225572,0.11063869196591401
14.873521072935118,1.0121743296227026,0.016051769067026444,15.054338561837062,0.00014543533325195312,0.11007899441572241,0.11171552855809579,0.112271741549026,0.11112883085470372,0.11103558300455628,0.11089574875961289,0.11071766198138927,0.11151739837449358,0.1106385125024001
19.6382800192977,1.0121743580346927,0.016051837560583537,19.877105809949107,0.00013208389282226562,0.11007802157503227,0.11171590393449114,0.11227333157060959,0.11112839173630963,0.11103557246962018,0.11089637198438528,0.11071710217211725,0.11151701455653604,0.11063829000089874
25.92943797404667,1.0121743634926323,0.016051858994531144,26.2448547149252,0.00012493133544921875,0.11007745195424835,0.11171635798614679,0.11227318755314045,0.11112822784865913,0.11103573305923531,0.11089701241923583,0.11071684627279026,0.11151689340779926,0.11063828949874466
