mu,expected_return,risk_mad,objective_value,weight_SHY,weight_XLB,weight_XLE,weight_XLF,weight_XLI,weight_XLK,weight_XLP,weight_XLU,weight_XLV
0.1,1.003622053702152,0.004200821241583334,0.09616138412863189,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.1059869818882502,1.003622053702152,0.004200821241583334,0.10217005118679513,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.11233240329780274,1.003622053702152,0.004200821241583334,0.10853845605345586,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.11905772393787836,1.003622053702152,0.004200821241583334,0.11528813616605403,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.12618568830660204,1.003622053702152,0.004200821241583334,0.12244191840450824,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.13374040261108217,1.003622053702152,0.004200821241583334,0.1300239962899036,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.1417474162926805,1.003622053702152,0.004200821241583334,0.13806001180505056,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.15023380843318593,1.003622053702152,0.004200821241583334,0.14657714211362644,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.1592282793341092,1.003622053702152,0.004200821241583334,0.1556041914711753,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.16876124757881478,1.003622053702152,0.004200821241583334,0.1651716886388041,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.1788649529057435,1.003622053702152,0.004200821241583334,0.1753119901290177,0.99223328,0.0,0.0077667169,0.0,0.0,0.0,0.0,0.0,0.0
0.1895735652406376,1.0036884066451648,0.004213285931111112,0.18605950370730762,0.98930456,0.0,0.0077593964,0.0,0.0,0.0029360463,0.0,0.0,0.0
0.20092330025650468,1.0038062043116243,0.004236091165333334,0.19745196422291345,0.98590815,0.0,0.0059670667,0.0,0.0,0.0081247848,0.0,0.0,0.0
0.2129525418521362,1.0038062043116243,0.004236091165333334,0.2095269915697718,0.98590815,0.0,0.0059670667,0.0,0.0,0.0081247848,0.0,0.0,0.0
0.22570197196339203,1.0038062043116243,0.004236091165333334,0.22232494861688787,0.98590815,0.0,0.0059670667,0.0,0.0,0.0081247848,0.0,0.0,0.0
0.2392147081462638,1.0038062043116243,0.004236091165333334,0.23588911703448073,0.98590815,0.0,0.0059670667,0.0,0.0,0.0081247848,0.0,0.0,0.0
0.25353644939701114,1.0038175500196722,0.004238824535833334,0.250265512938561,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.26871563070252286,1.0038175500196722,0.004238824535833334,0.26550264152796416,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.2848035868435802,1.0038175500196722,0.004238824535833334,0.28165201424630426,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.3018547260049922,1.0038175500196722,0.004238824535833334,0.29876824698435733,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.31992671377973836,1.0038175500196722,0.004238824535833334,0.3169092254763885,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.3390806681894053,1.0038175500196722,0.004238824535833334,0.3361363010650889,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.35938136638046275,1.0038175500196722,0.004238824535833334,0.356514498186925,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.38089746369540706,1.0038175500196722,0.004238824535833334,0.3781127342795972,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.40370172585965547,1.0038175500196722,0.004238824535833334,0.40100405285531937,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.42787127506942646,1.0038175500196722,0.004238824535833334,0.42526587052815157,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.4534878508128582,1.0038175500196722,0.004238824535833334,0.45098023883081656,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.480638086306439,1.0038175500196722,0.004238824535833334,0.47823412170644003,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.509413801481638,1.0038175500196722,0.004238824535833334,0.5071196896136722,0.98580788,0.0,0.0053602197,0.00042791762,0.0,0.0084039876,0.0,0.0,0.0
0.5399123135125903,1.0038201572523244,0.004240175939361112,0.5377346875133135,0.98550584,0.0,0.0057547628,0.0,0.0,0.0087393982,0.0,0.0,0.0
0.5722367659350217,1.0038201572523244,0.004240175939361112,0.570182624427094,0.98550584,0.0,0.0057547628,0.0,0.0,0.0087393982,0.0,0.0,0.0
0.60649647746946,1.0039119226110342,0.004294105383277779,0.6045749393699076,0.98285986,0.0,0.0043584471,0.0,0.0,0.012781688,0.0,0.0,0.0
0.6428073117284321,1.0039119226110342,0.004294105383277779,0.6410278188024429,0.98285986,0.0,0.0043584471,0.0,0.0,0.012781688,0.0,0.0,0.0
0.6812920690579614,1.0039119226110342,0.004294105383277779,0.6796631255243497,0.98285986,0.0,0.0043584471,0.0,0.0,0.012781688,0.0,0.0,0.0
